date,deaths,cases
2020-02-26T00:00:00Z,0,1
2020-03-01T00:00:00Z,0,2
2020-03-04T00:00:00Z,0,2
2020-03-05T00:00:00Z,0,7
2020-03-06T00:00:00Z,0,5
2020-03-09T00:00:00Z,0,3
2020-03-13T00:00:00Z,1,5
2020-03-14T00:00:00Z,1,1
2020-03-15T00:00:00Z,0,11
2020-03-16T00:00:00Z,2,11
2020-03-17T00:00:00Z,0,10
2020-03-18T00:00:00Z,1,2
2020-03-19T00:00:00Z,1,12
2020-03-20T00:00:00Z,1,18
2020-03-21T00:00:00Z,3,12
2020-03-22T00:00:00Z,5,37
2020-03-23T00:00:00Z,2,62
2020-03-24T00:00:00Z,0,29
2020-03-25T00:00:00Z,2,34
2020-03-26T00:00:00Z,2,38
2020-03-27T00:00:00Z,4,65
2020-03-28T00:00:00Z,1,42
2020-03-29T00:00:00Z,3,45
2020-03-30T00:00:00Z,2,57
2020-03-31T00:00:00Z,4,73
2020-04-01T00:00:00Z,9,132
2020-04-02T00:00:00Z,14,131
2020-04-03T00:00:00Z,5,139
2020-04-04T00:00:00Z,42,185
2020-04-05T00:00:00Z,25,80
2020-04-06T00:00:00Z,22,69
2020-04-07T00:00:00Z,21,103
2020-04-08T00:00:00Z,20,45
2020-04-09T00:00:00Z,12,104
2020-04-10T00:00:00Z,30,94
2020-04-11T00:00:00Z,21,95
2020-04-12T00:00:00Z,19,64
2020-04-13T00:00:00Z,18,89
2020-04-14T00:00:00Z,20,69
2020-04-15T00:00:00Z,12,87
2020-04-16T00:00:00Z,11,90
2020-04-17T00:00:00Z,12,108
2020-04-18T00:00:00Z,16,150
2020-04-19T00:00:00Z,3,117
2020-04-20T00:00:00Z,8,94
2020-04-21T00:00:00Z,9,89
2020-04-22T00:00:00Z,8,93
